state_abbr,state_name,region,is_nm,observed,predicted_enriched,residual_observed_minus_predicted,mean_pearson_resid,annualized_rate_per_1m,avg_density,gun_share,total
AZ,Arizona,West,0,461,354.9032107762965,106.0967892237035,1.4996072481243148,6.398300000000001,63.46349983273765,0.5813449023861171,461
MO,Missouri,Midwest,0,263,192.120724383702,70.87927561629802,1.4859710764252037,4.275969999999999,89.43731343283582,0.6730038022813688,263
CA,California,West,0,1405,1340.8204400799675,64.17955992003247,0.34038772666196115,3.57861,252.13282470679616,0.44697508896797156,1405
FL,Florida,South,0,672,619.6665669783432,52.33343302165676,0.49279748976389237,3.09713,403.8140494172494,0.6041666666666666,672
CO,Colorado,West,0,375,325.417447333802,49.58255266619804,0.7757716515661519,6.51982,55.38978792381467,0.68,375
PA,Pennsylvania,Northeast,0,227,177.97994339219628,49.020056607803724,1.034934715083904,1.75771,288.3350825827504,0.6167400881057269,227
TX,Texas,South,0,1010,961.1132009723234,48.8867990276766,0.2933410950344252,3.43776,111.88165308997365,0.6386138613861386,1010
NV,Nevada,West,0,171,131.0133718421637,39.986628157836286,1.0210331774572272,5.56412,28.02809138193312,0.5964912280701754,171
OK,Oklahoma,South,0,266,227.2107029881881,38.78929701181189,0.8013599029916131,6.6969899999999996,58.03361323711641,0.5789473684210527,266
IN,Indiana,Midwest,0,214,181.45093373567107,32.549066264328935,0.6568071554013294,3.15623,188.66368280020097,0.6635514018691588,214
OH,Ohio,Midwest,0,305,277.3191223647174,27.68087763528266,0.44056876927220134,2.5995,286.9996475857174,0.6098360655737705,305
LA,Louisiana,South,0,200,178.04081966172373,21.959180338276283,0.4894678666899872,4.30884,107.43702897879825,0.595,200
ME,Maine,Northeast,0,49,29.32137628339263,19.67862371660737,1.0338418936767946,3.5765599999999997,44.16895243653341,0.5918367346938775,49
KY,Kentucky,South,0,179,161.51310890489705,17.486891095102955,0.44157330073975337,3.9849200000000002,113.75451552448969,0.5810055865921788,179
TN,Tennessee,South,0,293,278.6493137678044,14.350686232195578,0.22754389670045452,4.23444,167.11253061719412,0.6177474402730375,293
NH,New Hampshire,Northeast,0,33,23.314617240991907,9.68538275900809,0.5825548079761438,2.39377,153.17741539148886,0.6060606060606061,33
DC,District of Columbia,South,0,30,21.402752516805144,8.597247483194856,0.5472259010954476,4.40783,11233.4131147541,0.5666666666666667,30
AK,Alaska,West,0,69,60.69052691769444,8.309473082305555,0.3353540771775963,9.37722,1.2893717766511696,0.6811594202898551,69
WV,West Virginia,South,0,100,93.83448348676755,6.165516513232449,0.2121889074727219,5.56442,74.77971129045677,0.65,100
KS,Kansas,Midwest,0,99,94.70081996386455,4.2991800361354455,0.14910600191009696,3.37932,35.81687765261317,0.6363636363636364,99
VT,Vermont,Northeast,0,15,12.397639103584849,2.6023608964151514,0.19787293431587985,2.36881,68.93375284799826,0.4,15
SD,South Dakota,Midwest,0,35,32.55211762961051,2.4478823703894927,0.12484921467076555,3.9272599999999995,11.728278218200526,0.6285714285714286,35
WI,Wisconsin,Midwest,0,163,161.2910821794854,1.7089178205146265,0.023010695039421974,2.78461,108.06175080320543,0.6196319018404908,163
SC,South Carolina,South,0,171,169.50519976444258,1.4948002355574115,0.022859403307979885,3.3058,171.65248328398923,0.6608187134502924,171
GA,Georgia,South,0,393,392.2350985730705,0.7649014269294945,0.0074078111059391214,3.6682499999999996,185.59755707405282,0.6310432569974554,393
HI,Hawaii,West,0,47,48.633272332556594,-1.6332723325565945,-0.0843424420974916,3.28938,222.88995796356843,0.425531914893617,47
NM,New Mexico,West,1,219,221.12543008788037,-2.125430087880387,0.07690785667961857,10.39598,17.35972810763574,0.6712328767123288,219
NE,Nebraska,Midwest,0,49,51.58403899985045,-2.5840389998504465,-0.19314737628810041,2.51886,25.340043475997085,0.5918367346938775,49
ND,North Dakota,Midwest,0,27,32.412587970470206,-5.412587970470206,-0.2910319824273303,3.48154,11.161899102911551,0.5185185185185185,27
RI,Rhode Island,Northeast,0,8,13.521605277060166,-5.521605277060166,-0.5066966974997166,0.74228,1043.5103481624758,0.5,8
NJ,New Jersey,Northeast,0,108,116.21165690452214,-8.211656904522144,-0.22540604913730147,1.19137,1239.1837367419091,0.4166666666666667,108
DE,Delaware,South,0,22,30.69295621089958,-8.69295621089958,-0.5374845612954728,2.2368300000000003,507.3891739353515,0.5909090909090909,22
MS,Mississippi,South,0,139,150.9040053596557,-11.904005359655718,-0.312709877245004,4.690939999999999,63.21410608869851,0.6402877697841727,139
CT,Connecticut,Northeast,0,32,45.42157109575516,-13.421571095755162,-0.6322855394056357,0.88888,743.4386617100372,0.46875,32
AR,Arkansas,South,0,143,157.32558099530547,-14.325580995305467,-0.34830186262855534,4.72174,58.137290285384836,0.6013986013986014,143
AL,Alabama,South,0,200,215.90617502251064,-15.906175022510634,-0.32312805652237203,4.00746,98.37499654457498,0.695,200
IA,Iowa,Midwest,0,63,80.25815533243417,-17.25815533243417,-0.5947339229808395,1.9831299999999998,56.81431154555382,0.6031746031746031,63
MT,Montana,West,0,69,88.2001534942089,-19.200153494208905,-0.5580957406667773,6.32845,7.445435120168194,0.5652173913043478,69
MN,Minnesota,Midwest,0,107,129.18540767961005,-22.185407679610037,-0.5842444144867177,1.8971799999999999,70.98028558152386,0.5514018691588785,107
MA,Massachusetts,Northeast,0,61,84.8667915506241,-23.8667915506241,-0.8098062431375442,0.88118,890.6706153846155,0.4098360655737705,61
MI,Michigan,Midwest,0,187,215.91146448600193,-28.91146448600193,-0.5851253408918354,1.8655599999999999,177.12902067599356,0.6470588235294118,187
NY,New York,Northeast,0,199,229.02073582769845,-30.020735827698434,-0.5648302848677972,1.00784,418.70766031490047,0.507537688442211,199
MD,Maryland,South,0,129,159.9478332341525,-30.947833234152505,-0.7231138762166209,2.11546,629.2588338312559,0.5658914728682171,129
ID,Idaho,West,0,90,121.88656033347793,-31.886560333477924,-0.8408774666402454,4.8916699999999995,22.09171738683252,0.5888888888888889,90
NC,North Carolina,South,0,310,345.90933394541537,-35.90933394541537,-0.5323066770813847,2.94198,215.9071989798017,0.6870967741935484,310
OR,Oregon,West,0,166,203.9093577222224,-37.909357722222396,-0.7373431838288027,3.95615,43.66059403258741,0.5542168674698795,166
WA,Washington,West,0,277,316.2787325515828,-39.27873255158276,-0.6522044857291013,3.63727,114.42927801853857,0.5234657039711191,277
UT,Utah,West,0,133,173.646118964479,-40.64611896447899,-0.9031047430849537,4.06339,39.496491420226356,0.5413533834586466,133
WY,Wyoming,West,0,36,83.88796228262962,-47.88796228262961,-1.2586035221635696,6.17868,5.989700596335473,0.6388888888888888,36
VA,Virginia,South,0,199,258.876512537258,-59.87651253725798,-1.0648937066620556,2.3136,217.2760952139782,0.6080402010050251,199
IL,Illinois,Midwest,0,212,272.6325768581479,-60.63257685814793,-1.0345211787088693,1.66586,229.28702065959402,0.6556603773584906,212
